congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
80,1,I000046,Leo,,Isacson,,4/20/1910,NY,0,0,1/3/1947,36.7
80,1,M000122,Vito,Anthony,Marcantonio,,12/10/1902,NY,0,1,1/3/1947,44.1
81,1,M000122,Vito,Anthony,Marcantonio,,12/10/1902,NY,0,1,1/3/1949,46.1
80,1,J000224,Hamilton,Chamberlain,Jones,,1884-09-26,NC,1,0,1/3/1947,62.3
80,1,B001148,Clarence,Godber,Burton,,1886-12-14,VA,1,0,1/3/1947,60.1
80,1,L000077,Henderson,Lovelace,Lanham,,1888-09-14,GA,1,0,1/3/1947,58.3
80,1,R000140,Kenneth,Mills,Regan,,1893-03-06,TX,1,0,1/3/1947,53.8
80,1,L000519,Georgia,Lee,Lusk,,1893-05-12,NM,1,0,1/3/1947,53.6
80,1,D000109,James,Curran,Davis,,1895-05-17,GA,1,0,1/3/1947,51.6
80,1,T000198,Clark,Wallace,Thompson,,1896-08-06,TX,1,0,1/3/1947,50.4
80,1,D000175,Charles,Bennett,Deane,,1898-11-01,NC,1,0,1/3/1947,48.2
80,1,M000991,Toby,,Morris,,1899-02-28,OK,1,0,1/3/1947,47.8
80,1,P000098,Otto,Ernest,Passman,,6/27/1900,LA,1,0,1/3/1947,46.5
80,1,M001074,Abraham,Jacob,Multer,,12/24/1900,NY,1,0,1/3/1947,46
80,1,J000246,Paul,Caruthers,Jones,,3/12/1901,MO,1,0,1/3/1947,45.8
80,1,W000604,Joseph,Franklin,Wilson,,3/18/1901,TX,1,0,1/3/1947,45.8
80,1,D000419,Harold,Daniel,Donohue,,6/18/1901,MA,1,0,1/3/1947,45.5
80,1,C000189,John,Albert,Carroll,,7/30/1901,CO,1,0,1/3/1947,45.4
80,1,R000104,Monroe,Minor,Redden,,9/24/1901,NC,1,0,1/3/1947,45.3
80,1,W000348,John,Albert,Whitaker,,10/31/1901,KY,1,0,1/3/1947,45.2
80,1,G000071,Edward,Alexander,Garmatz,,2/7/1903,MD,1,0,1/3/1947,43.9
80,1,H000197,Porter,,Hardy,Jr.,6/1/1903,VA,1,0,1/3/1947,43.6
80,1,B001111,Omar,Truman,Burleson,,3/19/1906,TX,1,0,1/3/1947,40.8
80,1,M000617,Hugh,Allen,Meade,,4/4/1907,MD,1,0,1/3/1947,39.8
80,1,L000496,Wingate,Hezekiah,Lucas,,5/1/1908,TX,1,0,1/3/1947,38.7
80,1,A000073,Carl,Bert,Albert,,5/10/1908,OK,1,0,1/3/1947,38.7
80,1,A000002,Watkins,Moorman,Abbitt,,5/21/1908,VA,1,0,1/3/1947,38.6
80,1,P000516,Prince,Hulon,Preston,Jr.,7/5/1908,GA,1,0,1/3/1947,38.5
80,1,E000273,Joseph,Landon,Evins,,10/24/1910,TN,1,0,1/3/1947,36.2
80,1,B000550,John,Anton,Blatnik,,8/17/1911,MN,1,0,1/3/1947,35.4
80,1,J000133,Glen,Dale,Johnson,,9/11/1911,OK,1,0,1/3/1947,35.3
80,1,B000242,Laurie,Calvin,Battle,,5/10/1912,AL,1,0,1/3/1947,34.7
80,1,J000248,Robert,Emmett,Jones,Jr.,6/12/1912,AL,1,0,1/3/1947,34.6
80,1,K000013,Frank,Melvin,Karsten,,1/7/1913,MO,1,0,1/3/1947,34
80,1,S000505,George,Armistead,Smathers,,11/14/1913,FL,1,0,1/3/1947,33.1
80,1,B000594,Thomas,Hale,Boggs,Sr.,2/15/1914,LA,1,0,1/3/1947,32.9
80,1,P000182,Preston,Elmer,Peden,,6/28/1914,OK,1,0,1/3/1947,32.5
80,1,W000342,William,McDonald,Wheeler,,7/11/1915,GA,1,0,1/3/1947,31.5
80,1,D000434,William,Jennings Bryan,Dorn,,4/14/1916,SC,1,0,1/3/1947,30.7
80,1,K000107,John,Fitzgerald,Kennedy,,5/29/1917,MA,1,0,1/3/1947,29.6
80,1,W000517,John,Bell,Williams,,12/4/1918,MS,1,0,1/3/1947,28.1
80,1,B000401,Lloyd,Millard,Bentsen,Jr.,2/11/1921,TX,1,0,1/3/1947,25.9
81,1,R000025,Robert,Lincoln,Ramsay,,1877-03-24,WV,1,0,1/3/1949,71.8
81,1,W000361,Compton,Ignatius,White,,1877-07-31,ID,1,0,1/3/1949,71.4
81,1,O000053,Barratt,,O'Hara,,1882-04-28,IL,1,0,1/3/1949,66.7
81,1,O000122,Eugene,Daniel,O'Sullivan,,1883-05-31,NE,1,0,1/3/1949,65.6
81,1,M000705,John,Esten,Miles,,1884-07-28,NM,1,0,1/3/1949,64.4
81,1,B000609,William,P.,Bolton,,1885-07-02,MD,1,0,1/3/1949,63.5
81,1,B000035,Cleveland,Monroe,Bailey,,1886-07-15,WV,1,0,1/3/1949,62.5
81,1,R000001,Louis,Charles,Rabaut,,1886-12-05,MI,1,0,1/3/1949,62.1
81,1,D000481,Clyde,Gilman,Doyle,,1887-07-11,CA,1,0,1/3/1949,61.5
81,1,W000446,Roy,William,Wier,,1888-02-25,MN,1,0,1/3/1949,60.9
81,1,C000383,George,Henry,Christopher,,1888-12-09,MO,1,0,1/3/1949,60.1
81,1,O000095,Harry,Patrick,O'Neill,,1889-02-10,PA,1,0,1/3/1949,59.9
81,1,Y000053,Stephen,Marvin,Young,,1889-05-04,OH,1,0,1/3/1949,59.7
81,1,W000714,Chase,Going,Woodhouse,,1890-03-03,CT,1,0,1/3/1949,58.8
81,1,F000353,James,Beriah,Frazier,Jr.,1890-06-23,TN,1,0,1/3/1949,58.5
81,1,R000329,Edward,John,Robeson,Jr.,1890-08-09,VA,1,0,1/3/1949,58.4
81,1,M000606,John,,McSweeney,,1890-12-19,OH,1,0,1/3/1949,58
81,1,C000926,Thurman,Charles,Crook,,1891-07-18,IN,1,0,1/3/1949,57.5
81,1,B001028,James,Vincent,Buckley,,1894-05-15,IL,1,0,1/3/1949,54.6
